name,date,rating,year,state,clean_review,len_review
Helen,2023-09-13,5.0,2023,TX,amber and ladonna at the starbucks on southwest parkway are always so warm and welcoming there is always a smile in their voice when they greet you at the drivethru and their customer service is always spoton they always get my order right and with a smile i would actually give them more than  stars if they were available,59
Courtney,2023-07-16,5.0,2023,FL, at the starbucks by the fire station on  in altamonte springs fl made my day and finally helped me figure out the way to make my drink so id love it she took time out to talk to me for  minutes to make my experience better than what im used to it was much appreciated ive had bad experiences one after another at the starbucks thats closest to me in my work building with my drinks not being great along with not great customer service from specific baristas niko was refreshing to speak to and pleasant the drink was perfect store ,101
Daynelle,2023-07-05,5.0,2023,PA,i just wanted to go out of my way to recognize a starbucks employee billy at the franklin park location i was running late to work  placed an order at the wrong location and not only did he make my order with a smile he made it within  seconds thank you soo much i was having a bad morning and people like you just make this world a better place,70
Taylor,2023-05-26,5.0,2023,WA,me and my friend were at starbucks and my card didnt work thankful the worker there paid for our drinks and was very nice about it it didnt seem to bother him that he paid for our drinks this made my day but made me look like a fool because my card didnt work all thanks to dillon at shoreline wa in safeway thank you so much dillon for the help support and kindness i rate this  if i could but other than that ,84
Tenessa,2023-01-22,5.0,2023,OR,im on this kick of drinking  cups of warm water i work for instacart right now and every location of starbucks i was given free hot water because i asked for it without being charged i really appreciate starbucks for giving me the opportunity to do such thing thats why i give them five stars they fully have my support theyre super nice and professional and the coffee is great go to starbucks,73
Alyssa,2023-09-14,1.0,2023,TX,we had to correct them on our order  times they never got it right then the manager came over to us and said we made her employee uncomfortable because we were trying to correct our order the manager tried was racist against my stepmom chinese taking over her but when i  would talk she would stop talking and listen to me,61
ken,2023-09-08,1.0,2023,FL,i have tried starbucks several different times in different locations just in case it was just the one store but its not if you like coffee that taste like dirt scooped off the ground at a garbage dump then this is the place for you,45
Nikki,2023-08-25,1.0,2023,NC,starbucks near me just launched new fall foods and beverages yesterday by noon yesterday they were out of all new items the fall launch is huge and many people look forward to it all year maybe if you dont have enough product to last even a couple of days push back the launch until you do i was so happy to get the email that it had come out that i left work on my break to brighten my day and so very disappointed to get there at pm and find out that it was all gone please starbucks do better,101
Alex,2023-08-05,1.0,2023,MD,i ordered online for the reisterstown rd st thomas sc  and they gave me the wrong drink size so ordered a venti they gave me a grande just a bit upset that i paid over  bucks for a drink and got the wrong thing,44
Sunny,2023-08-04,1.0,2023,Other,staff at the smythe st superstore location in fredericton nb often seen tired but today a woman named senoa senora was morose glum uncommunicative even after i tried to engage her to sympathize as there was obviously a bad mood happening scruffy looking almost rude and the americano i ordered tastes watery i go to starbucks for a treat after a long day it a difficult experience to ease stress and have a pleasant experience im going to sell a different location after todays grumpy girl,86
Breggetta,2023-07-27,1.0,2023,CA,i filed a bbb complaint last month because starbucks canceled my starbucks reward cards i couldnt remember the balances so i guessed about  starbucks played nothing but games and tried everything they could to avoid responding to the complaint i received a couple of phone call messages asking me to contact them directly and discuss the matter the number provided was the customer service number and when i spoke with one representative linda hung up the phone on me i did not use my card since  which is my prerogative because of this and other reasons starbucks decided to close my starbucks account i reopened one about a few weeks ago and added a new card that i have not used yet,122
Shannon,2023-07-21,2.0,2023,OH,every time i try to buy a strawberry refresher starbucks never has strawberries to put into the drink how is the drink called strawberry refresher and you guys never have any damn strawberries it seems every time we go on the starbucks to order a specialty drink you guys are constantly out of it its like calling a pizza place and theyre telling us theyre out of cheese i dont give you a partial payment so i dont expect a partial drink,82
Lucy,2023-07-21,1.0,2023,CA,insulted by customer service representative as i called to complain instead of acknowledge they have issues and they are providing low quality she called me suspicious even though i spend at least average  dollars a day was so upset and i decided to close the account after being with them for more than  yrs company that doesnt appreciate feedback soon to fall especially that it lost its quality,68
RAYMOND,2023-07-16,1.0,2023,HI,i would give starbucks zero stars if i could i received an email that i would be receiving a birthday reward on the day of my birthday and it would be good on the day of my birthday only the email also stated that the reward would be for any drink or food item i went to an starbucks near my home the cashier told me my coupon had expired i told her i dont have a coupon its a birthday reward i ordered a sandwich the cashier said i could only purchase a drink i showed her the email she said lets try it and swiped my card she said it didnt take so she asked if i wanted a drink i told her to just give me a venti hot coffee she swiped my card again and said it didnt work then she asked are you sure its your birthday i showed her the email that said in big letters  i told her this is july  and this is my birthday ,173
Thomas,2023-07-06,1.0,2023,NJ,on june   i purchased coffee and a breakfast sandwich for  at the starbucks located at the target store in mays landing nj i was not given purchase credit and star points for the purchase even though the cashier there scanned my starbucks app i reported this to customer service the next day and was told to email them a copy of my credit card receipt to their customer service address which i did i have still not been given stars to my account or credit for this purchase i have attempted to contact them on multiple occasions and they have not responded,102
Felicia,2023-07-06,1.0,2023,GA,my mother sent me a  gift card purchased from walgreens in june she came to visit me this past weekend and brought the gift card receipts i contacted walgreens to replace the cards i was told to contact the merchant starbucks i called starbucks and spoke with a representative today explained my problem he asked for the card number when i provided it he transferred me to a different department that handles these issues i got another representative i told this representative why i was transferred over she got silent and ended the call it is like no one wants to handle issues or do their job ,107
Sean,2023-06-28,1.0,2023,Other,was handed a coffee in a drive through the lid was not on right and the top edge of the cup was bent when i accepted the coffee and was going to place it in my cup holder the cup bent the lid fell off and the coffee spilled all over myself and my newly detailed interior not the way to start a day especially on the way to an appointment now  for coffee and detailing,76
Charles,2023-06-11,1.0,2023,DC,im at th and l in dc there are a dozen people here and only one employee to make drinks unacceptable i have commitments to get to and i dont have time to wait its already been  minutes i wont come to this location again,45
Miya,2023-06-03,1.0,2023,GA,i have been purchasing starbucks a lot using my cash app card i reached out to starbucks customer service so they could add my purchases or receipts to my account for points i emailed them and received an automated email back saying someone will reach out to me no one has as of yet i sent out another email and still didnt get any assistance starbucks is ignoring me about receiving help,72
Ann,2023-05-30,1.0,2023,Other,starbucks como lake bad attitude of the cashier demonstrative arrogance and didnt greet me misspelled my name then laughed at me with the staff orders are often confused it is better to take a check in order to get the desired drink later the order took a long time one day we had to wait  minutes bad place,58
Vicki,2023-05-22,1.0,2023,TX,this past sunday  we went through the drive in and bought  double smoked breakfast sandwiches expecting it to have back and gruyere cheese and an egg they did not we got  buns pasted together with unidentifiable something we were on the road somewhere or i would have turned around and returned them i know their food comes pre packaged and only warmed at the store so i fault the company for falsely selling food that does not meet the picture on display at the ordering kiosk just how many millions does starbucks need to make on a daily basis their food is already overpriced i mean how much does  egg  small slices of bacon and cheese cost,117
Shannon,2023-05-15,1.0,2023,AZ,i was overcharged for a venti brown sugar shaken espresso i looked at my paypal notification and there was  taken from my account for the coffee drink very unhappy about it i would like a refund of the total price if not i will never buy another product from you guys i go to starbucks on the regular i am just really sick and tired of being taken advantage of,70
VD,2023-05-11,1.0,2023,CA,i received a gift card on  but not able to use it today  i believe no one should purchase starbucks gift card anymore because this is the nd time i was not able to use a starbucks gift cardthe first time was a thankyou card from the coordinator of our churchs foster the city program all of us support friends helping out the foster families with various tasks received a card but it turned out we were all told not to use it because for reasons unbeknownst to him the cards were invalid sadly it happenedagainthis time i received a card from a trusted friend and the same happened i already texted her and let her know what had happened im having a bad feeling starbucks is having some kind of scam im so appreciative of my friends kind heart and texted her about the card because i feel uncomfortable about what starbucks is doing and personally i will not purchase starbucks gift cards in the future anymore,168
Jennifer,2023-04-30,1.0,2023,MA,i spend about day is it asking too much to have a lid that does not fall off i have contacted starbucks customer service for months being told they are addressing the issue but nothing changes,36
Mark,2023-04-28,1.0,2023,FL,during covid their restrictions were over the top and still require staff to put cream and sugar in my coffee starbucks this is nonsense  no wonder you have  stars why should your customers wait for a cup of coffee as if i had ordered a frap dumb policy sell coffee not politics,52
Chris,2023-04-20,1.0,2023,TX,for me to come on here and leave a review for your store on town east new store beside hs yall need to do better tell your employees to stay off their phones and put effort into doing their jobs or employ people that actually want to work i waited patiently for my coffee as did everyone else but my frappe tasted like crap i dont drink starbucks very often and if i do i go to the one on military and never had an issue there whatsoever l but today i happen to be in the town east area and decided to treat myself to a frappe unfortunately it tasted like crap and seeing an employee on their phone after receiving my coffee irritated me cause if they put as much attention into doing their job as they do their phone it probably would get them more than one star,151
Elizabeth,2023-03-30,1.0,2023,CA,me and my special needs son need to wait at a starbucks for an access van the store has only teeny tiny tables where two people can not sit at as the table is far too small and round so the tables can not be joined the staff told me starbucks is making it extremely uncomfortable for a family to eat inside and difficult for couples people with special needs basically everyone the table is a little bigger than a stool i was told the staff and many complained though corporate office stated to them star bucks is not a family friendly place not a place for a group of people to meet they said the corporate office said despite the complaints the tiny tables stay,126
Kemmis,2023-03-29,1.0,2023,Other,it has chemical odors and makes me gag my friend dared me to have some and i barfed all over the store they spelled my name wrong on purpose my name is kemmis but starbucks spelled it as chemist and i said thats not my name its kemmis,48
Eva,2023-03-10,1.0,2023,Other,ok so i already had in mind to stop going to starbucks since it was costing me like  a month when i saw on tiktok how unhealthy their drinks really are i just knew i had slow down my intake but today that was it for me they told me that to have a free drink is no longer  stars  its now required to accumulate  stars no way this is a sign from the universe for me to really stop drinking their unhealthy drinks they can go and require  stars for a free drink if they wish  i dont care because i really am not interested anymore,107
Tiffany,2023-03-03,1.0,2023,MD,i bought a caramel macchiato last night on  and there was particles of a white cleaning rag in my drink pretty much starbucks isnt doing anything which is awful and disgusting i have lost my ambition to buy coffee from starbucks forever after this experience and with their customer service,50
Kseniia,2023-02-22,1.0,2023,NJ,my account got blocked i cannot log in and i have a substantial balance there i have already spent hours on the phone with customer service trying to resolve this the issue was even escalated to a senior rep but after months of going back and forth and me bagging to return my money starbucks reps say that theres nothing they can do they wouldnt issue me a card for the balance or credit me back on my credit card,81
Nilly,2023-02-19,1.0,2023,CA,all the money starbucks makes not only are they ungrateful to their employees but whats the point of being a loyal ongoing cu when you have to pay more just to start using rewards why would they change the amount you need to earn its bad enough all their starbucks games you dont win anything big its like they are all rigged that waynot to win,66
Latasha,2023-02-09,3.0,2023,VA,in my opinion i cant believe starbucks has now changed it to  stars for free handcrafted beverage it was  so that means spend  and you get a free drink not anymore the coffees are already outrageous as it is they ask you tip now with new card reader which is super uncomfortable in the first place may start going to  brew its good cheap and  minutes from them here in kingsport,71
William,2023-02-05,1.0,2023,NV,on  i purchased starbucks beverage located in las vegas upon receiving the beverage caramel macchiato it was drowned in caramel sauce caramel was thrown in the cup and to top it off an excessive amount of caramel was put on top i requested the beverage to be made again upon departing property i realized that the steaming wand was never wiped down i returned home and contacted starbucks via email to leave a complaint i was contacted back and was informed that i would be receiving a full refund for the purchase on  i received the gift card through mail looked to see how much was refund and showed  cents due to the lack customer service i will be taking my business elsewhere,123
James,2023-02-04,1.0,2023,TN,got to starbucks inside food city before  pm asked for a large decaf i was told they could only do a half caf very disappointed in their logistics function a viable business should have its ordering of supplies rather optimized by the time they are a mature business,48
vincent,2023-02-01,2.0,2023,PA,i know a lot of people line up for this stuff but the coffee is not that good i guess thats why they put in so many flavorings and sweeteners if you like just coffee try somewhere else many to choose from i wont name them here this is not an advertisement,52
J,2023-02-01,2.0,2023,TX,i have had enough of this companies deceitful ways a oz grande and  oz vente both have  shots of espresso all you are paying for is more milk which weakens the taste logically if a grande has  shots then a vente should have  the shots have already been reduced in size over the years secondly tips are based on performanceto ask us to tip before we can even finish cashing out is no right you are pressuring us to leave a tip before we even get our coffee what if the service stinks i think you should go back to using a tip jar that way if the service is good we can tip and if not we can leave i am only one person but you have lost me as a customer and i will do whatever i can to spread the word,144
Brenda,2023-01-30,1.0,2023,IA,they are always out of stuff at lakeport commons in sioux city so forger mobile ordering mobile ordering takes your money then when you get there told out of something and you lost money never have the sauces you want out if matcha for green tea for weeks out of ice coffee at least x week,56
ANDRU,2023-01-01,2.0,2023,NC,i had purchased a drink on my app at an airport i went to pick it up and they said they could not make my drink because the blender was broken down and could not refund my money i asked them how i would get my money back they said theres a phone number on the app and the phone number goes to the store and ive called the store nine times and no one will answer i send an email to starbucks corporation  weeks ago and have heard nothing i will no longer visit or you starbucks,98
Marlene,2022-12-29,1.0,2022,Other,they wonder why they have to shut down locations this company should be called makeothercoffeecompaniesbucks because they dont care in helping people out who cant get into their mobile accounts second time this year i get locked out of my account and no matter what i do i cant get in and then when you call customer service they cant speakunderstand english and say they fixed the problem when nothing gets fixed then someone tells you someone will call you and nobody does im done with this company thanks for saving me hundreds a month,95
Paul,2022-12-13,1.0,2022,OR,yet another person with a horrible experience at a starbucks specifically the starbucks at johnson creek crossing in portland oregon i was trying to give my order at the drivethru but apparently the person who was taking it couldnt hear me very well a short decaf vanilla mocha nonfat nowhip still she had every thing right but the vanilla so when she asked me if it was right i said everything but the vanilla she said she was having trouble hearing me so i said loudly vanilla she said she was still having trouble hearing me and for some unknown reason changed the drink to a grande vanilla latte so i said loudly mocha and then asked her why she changed the drinksize she said she more about not being able to hear me so in a very loud voice i said short decaf vanilla mocha nonfat no whip at which point she said i was treating her badly and refused to take my order ,165
